0.00 0.28
0.00 2.33
0.01 5.98
0.01 6.14
0.01 5.91
0.02 5.76
0.02 5.55
0.03 5.12
0.03 4.68
0.03 4.26
0.04 3.79
0.04 3.32
0.04 3.28
0.05 3.07
0.05 3.05
0.05 3.64
0.05 6.65
0.05 9.48
0.05 11.96
0.05 13.61
0.05 15.51
0.05 17.73
0.06 20.08
0.06 22.34
0.06 25.56
0.06 30.84
0.06 37.18
0.06 42.91
0.06 48.38
0.06 54.07
0.06 60.13
0.06 66.81
0.06 73.21
0.06 79.78
0.07 86.47
0.07 93.29
0.07 100.21
0.07 107.09
0.07 114.15
0.07 121.34
0.07 128.54
0.07 135.83
0.07 143.31
0.07 151.07
0.07 158.76
0.08 166.65
0.08 174.69
0.08 182.73
0.08 190.92
0.08 199.27
0.08 208.30
0.08 216.83
0.08 225.41
0.08 234.09
0.08 242.82
0.08 251.71
0.08 260.81
0.09 269.06
0.09 277.00
0.09 284.69
0.09 291.90
0.09 298.65
0.09 305.00
0.09 310.62
0.09 315.85
0.09 319.81
0.09 321.14
0.09 320.40
0.10 316.36
0.10 319.61
0.10 319.71
0.10 321.17
0.10 323.33
0.10 325.30
0.10 325.96
0.10 325.42
0.10 322.23
0.10 322.51
0.10 323.99
0.11 325.25
0.11 326.57
0.11 327.86
0.11 330.61
0.11 332.71
0.11 333.83
0.11 335.51
0.11 333.57
0.11 325.66
0.11 319.40
0.11 321.74
0.12 320.93
0.12 319.56
0.12 321.23
0.12 321.67
0.12 323.64
0.12 323.38
0.12 320.10
0.12 323.16
0.12 322.06
0.13 320.60
0.13 339.42
0.13 346.63
0.14 352.64
0.14 357.85
0.14 362.73
0.15 367.34
0.15 371.76
0.16 375.84
0.16 379.74
0.16 383.40
0.17 386.87
0.17 389.99
0.17 393.07
0.18 395.98
0.18 398.66
0.18 401.21
0.19 403.61
0.19 405.94
0.20 408.08
0.20 410.02
0.20 411.94
0.21 413.74
0.21 415.45
0.21 417.01
0.22 418.50
0.22 419.88
0.22 421.30
0.23 422.44
0.23 423.60
0.24 424.68
0.24 425.65
0.24 426.56
0.25 427.40
0.25 428.27
0.25 429.04
0.26 429.73
0.26 430.35
0.26 431.03
0.27 431.57
0.27 432.12
0.28 432.54
0.28 433.00
0.28 433.40
0.29 433.84
0.29 434.05
0.29 434.35
0.30 434.61
0.30 434.91
0.30 435.16
0.31 435.25
0.31 435.32
0.31 435.50
0.32 435.63
0.32 435.65
0.33 435.65
0.33 435.67
0.33 435.60
0.34 435.48
0.34 435.35
0.34 435.19
0.35 435.01
0.35 434.75
0.35 434.40
0.36 434.12
0.36 433.68
0.37 433.18
0.37 432.41
0.37 431.70
0.38 430.77
0.38 429.43
0.38 427.71
0.39 425.57
0.39 422.97
0.39 419.87
0.40 416.00
0.40 411.56
0.41 406.29
0.41 400.06
0.41 392.69
0.42 383.89
0.42 372.90
0.42 358.43
